date,month,month_surv,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,count,species_sum
2018-07-14,7,7,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,2304,2304
2018-07-15,7,7,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,398000,398000
2018-07-15,7,7,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,216000,216000
2018-07-24,7,7,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,219000,219000
2018-07-24,7,7,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,6764,6764
2018-08-19,8,8,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,992,992
2018-08-19,8,8,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,930,930
2018-08-21,8,8,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,334000,334000
2018-08-21,8,8,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,3330,3330
2018-08-28,8,8,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,18864,18864
2018-08-28,8,8,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,576,576
2018-09-11,9,9,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,1152,1152
2018-09-11,9,9,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,12876,12876
2018-09-13,9,9,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,12460,12460
2018-09-13,9,9,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,1776,1776
2018-09-14,9,9,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,78736,78736
2018-09-14,9,9,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,4366,4366
2018-10-23,10,10,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,0,0
2018-10-23,10,10,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,5328,5328
2019-05-11,5,5,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,9648,9648
2019-05-11,5,5,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,138000,138000
2019-05-13,5,5,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,384000,384000
2019-05-13,5,5,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,208000,208000
2019-05-14,5,5,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,125000,125000
2019-05-14,5,5,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,304000,304000
2019-06-09,6,6,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,4005,4005
2019-06-09,6,6,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,5340,5340
2019-06-10,6,6,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,141488,141488
2019-06-10,6,6,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,76368,76368
2019-06-11,6,6,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,820000,820000
2019-06-11,6,6,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,20800,20800
2019-07-06,7,7,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,446000,446000
2019-07-06,7,7,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,660000,660000
2019-07-07,7,7,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,25000,25000
2019-07-07,7,7,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,1584,1584
2019-07-10,7,7,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,72224,72224
2019-07-10,7,7,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,8708,8708
2019-08-03,8,8,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,0,0
2019-08-03,8,8,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,10767,10767
2019-08-05,8,8,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,0,0
2019-08-05,8,8,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,72816,72816
2019-08-06,8,8,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,0,0
2019-08-06,8,8,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,11232,11232
2019-08-31,8,9,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,0,0
2019-08-31,8,9,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,6105,6105
2019-09-01,9,9,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,0,0
2019-09-01,9,9,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,999,999
2019-09-02,9,9,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,79927,79927
2019-09-02,9,9,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,974000,974000
2019-10-01,10,10,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,0,0
2019-10-01,10,10,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,3264,3264
2019-10-04,10,10,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,80,80
2019-10-04,10,10,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,4000,4000
2019-10-05,10,10,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,0,0
2019-10-05,10,10,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,666,666
2020-04-30,4,5,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,190000,190000
2020-04-30,4,5,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,306000,306000
2020-05-01,5,5,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,136000,136000
2020-05-01,5,5,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,108928,108928
2020-05-04,5,5,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,203000,203000
2020-05-04,5,5,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,41052,41052
2020-06-04,6,6,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,268000,268000
2020-06-04,6,6,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,512000,512000
2020-06-06,6,6,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,148000,148000
2020-06-06,6,6,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,153920,153920
2020-06-08,6,6,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,59200,59200
2020-06-08,6,6,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,262000,262000
2020-07-02,7,7,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,133792,133792
2020-07-02,7,7,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,2020000,2020000
2020-07-05,7,7,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,298000,298000
2020-07-05,7,7,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,1406000,1406000
2020-07-06,7,7,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,54736,54736
2020-07-06,7,7,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,18864,18864
2020-08-07,8,8,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,390000,390000
2020-08-07,8,8,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,272000,272000
2020-08-08,8,8,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,1092000,1092000
2020-08-08,8,8,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,394000,394000
2020-09-03,9,9,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,169312,169312
2020-09-03,9,9,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,191000,191000
2020-09-04,9,9,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,7548,7548
2020-09-04,9,9,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,6549,6549
2020-09-05,9,9,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,98864,98864
2020-09-05,9,9,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,81104,81104
2020-10-01,10,10,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,268000,268000
2020-10-01,10,10,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,118400,118400
2020-10-02,10,10,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,107152,107152
2020-10-02,10,10,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,177000,177000
2020-10-04,10,10,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,244000,244000
2020-10-04,10,10,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,3200,3200
