date,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,hakai_id,count,species_sum
2018-05-29,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY437,7298,7298
2018-05-30,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY445,339966,339966
2018-05-30,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY445,7344,7344
2018-06-19,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY451,20600,20600
2018-06-19,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY451,1836,1836
2018-06-27,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY448,129000,129000
2018-06-27,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY448,318000,318000
2018-07-14,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY453,363000,363000
2018-07-14,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY453,2304,2304
2018-07-15,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY454,398000,398000
2018-07-15,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY454,216000,216000
2018-07-24,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY457,219000,219000
2018-07-24,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY457,6764,6764
2018-08-19,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY460,992,992
2018-08-19,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY460,930,930
2018-08-21,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY462,334000,334000
2018-08-21,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY462,3330,3330
2018-08-28,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY464,18864,18864
2018-08-28,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY464,576,576
2018-09-11,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY467,1152,1152
2018-09-11,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY467,12876,12876
2018-09-13,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY468,12460,12460
2018-09-13,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY468,1776,1776
2018-09-14,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY470,78736,78736
2018-09-14,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY470,4366,4366
2018-10-23,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY473,0,0
2018-10-23,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY473,5328,5328
2018-11-21,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY480,0,0
2018-11-21,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY480,440,440
2018-11-22,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY478,0,0
2018-11-22,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY478,1960,1960
2019-01-21,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY483,0,0
2019-01-21,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY483,480,480
2019-01-24,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY485,320,320
2019-01-24,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY485,89984,89984
2019-02-14,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY488,0,0
2019-02-14,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY488,2120,2120
2019-02-19,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY489,21888,21888
2019-02-19,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY489,71841,71841
2019-03-13,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY490,37009,37009
2019-03-13,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY490,10360,10360
2019-03-15,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY492,140000,140000
2019-03-15,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY492,9102,9102
2019-04-18,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY494,34128,34128
2019-04-18,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY494,31411,31411
2019-04-19,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY486,121360,121360
2019-04-19,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY486,50693,50693
2019-05-11,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY496,9648,9648
2019-05-11,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY496,138000,138000
2019-05-13,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY476,384000,384000
2019-05-13,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY476,208000,208000
2019-05-14,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY497,125000,125000
2019-05-14,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY497,304000,304000
2019-06-09,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY498,4005,4005
2019-06-09,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY498,5340,5340
2019-06-10,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY500,141488,141488
2019-06-10,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY500,76368,76368
2019-06-11,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY499,820000,820000
2019-06-11,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY499,20800,20800
2019-07-06,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY502,446000,446000
2019-07-06,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY502,660000,660000
2019-07-07,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY505,25000,25000
2019-07-07,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY505,1584,1584
2019-07-10,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY503,72224,72224
2019-07-10,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY503,8708,8708
2019-08-03,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY507,0,0
2019-08-03,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY507,10767,10767
2019-08-05,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY508,0,0
2019-08-05,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY508,72816,72816
2019-08-06,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY506,0,0
2019-08-06,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY506,11232,11232
2019-08-31,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY511,0,0
2019-08-31,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY511,6105,6105
2019-09-01,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY509,0,0
2019-09-01,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY509,999,999
2019-09-02,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY512,79927,79927
2019-09-02,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY512,974000,974000
2019-10-01,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY510,0,0
2019-10-01,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY510,3264,3264
2019-10-04,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY513,80,80
