date,month,month_surv,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,species_sum,count
2019-05-11,5,5,KC10,hetero,Ciliophora,ciliates,732976,ciliates,ciliates,Suborder,Chromista,Ciliophora,Oligotrichea,Choreotrichida,NA,NA,NA,Indet.,NA,288,7920
2019-05-13,5,5,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1555,8708
2019-05-14,5,5,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,712,15041
2019-06-09,6,6,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,178,4628
2019-06-10,6,6,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,144,1584
2019-06-11,6,6,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,720,2160
2019-07-06,7,7,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,288,3744
2019-07-07,7,7,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1584,6048
2019-07-10,7,7,KC10,hetero,Ciliophora,ciliates,732976,ciliates,ciliates,Suborder,Chromista,Ciliophora,Oligotrichea,Choreotrichida,NA,NA,NA,Indet.,NA,311,3732
2019-08-03,8,8,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,222,3885
2019-08-05,8,8,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,15943,86972
2019-08-06,8,8,QCS01,hetero,Ciliophora,ciliates,732974,ciliates,ciliates,Class,Chromista,Ciliophora,Oligotrichea,NA,NA,NA,NA,Indet.,NA,1440,1440
2019-08-31,8,9,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,222,16428
2019-09-01,9,9,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,222,8325
2019-09-02,9,9,DFO2,hetero,Ciliophora,ciliates,732976,ciliates,ciliates,Suborder,Chromista,Ciliophora,Oligotrichea,Choreotrichida,NA,NA,NA,Indet.,NA,144,1488
2019-10-01,10,10,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1056,2640
2019-10-04,10,10,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,600,1920
2019-10-05,10,10,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,740,5772
2020-04-30,4,5,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,144,1296
2020-05-01,5,5,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,144,2448
2020-05-04,5,5,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,267,2047
2020-06-04,6,6,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1600,10800
2020-06-06,6,6,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,356,3471
2020-06-08,6,6,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,288,6192
2020-07-02,7,7,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,311,4665
2020-07-05,7,7,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,777,5217
2020-07-06,7,7,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1054,10106
2020-08-07,8,8,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1296,3888
2020-08-08,8,8,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,518,2442
2020-09-03,9,9,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,356,6586
2020-09-04,9,9,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,111,16761
2020-09-05,9,9,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,160,1560
2020-10-01,10,10,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1443,6771
2020-10-02,10,10,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,518,5180
2020-10-04,10,10,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,520,1960
2018-05-29,5,5,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,40,3720
2018-06-26,6,6,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,240,2440
2018-07-23,7,7,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,240,3920
2018-08-21,8,8,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1600,8160
2018-09-13,9,9,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,520,21520
2018-10-24,10,10,QU39,hetero,Ciliophora,ciliates,732976,ciliates,ciliates,Suborder,Chromista,Ciliophora,Oligotrichea,Choreotrichida,NA,NA,NA,Indet.,NA,124,2046
2019-05-09,5,5,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,370,4144
2019-06-04,6,6,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,120,2480
2019-07-09,7,7,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,320,8304
2019-08-07,8,8,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1360,14360
2019-08-29,8,9,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1120,5200
2019-10-09,10,10,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,240,4520
2020-04-29,4,5,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,432,7632
2020-06-04,6,6,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1280,4320
2020-07-09,7,7,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,4278,13888
2020-08-04,8,8,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1480,9120
2020-09-01,9,9,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,445,2581
2020-10-08,10,10,QU39,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,480,3760
