date,month,month_surv,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,species_sum,count
2018-08-28,8,8,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,864,2016
2018-09-11,9,9,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,816,1776
2018-09-13,9,9,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,1998,2886
2018-09-14,9,9,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,1184,2072
2018-10-23,10,10,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,1480,1998
2019-05-11,5,5,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,864,1152
2019-05-13,5,5,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,933,2488
2019-05-14,5,5,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,4361,5162
2019-06-09,6,6,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,1602,1869
2019-06-10,6,6,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,432,1152
2019-06-11,6,6,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,288,1008
2019-07-06,7,7,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,720,1008
2019-07-07,7,7,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,1008,2016
2019-07-10,7,7,KC10,hetero,Dinoflagellata,dino_het,109476,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA,spp. Indet.,NA,311,1866
2019-08-03,8,8,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,555,999
2019-08-05,8,8,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,801,979
2019-08-06,8,8,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,1152,1872
2019-08-31,8,9,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,3885,7437
2019-09-01,9,9,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,3552,5661
2019-09-02,9,9,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,192,576
2019-10-01,10,10,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,336,528
2019-10-04,10,10,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,160,280
2019-10-05,10,10,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,444,1776
2020-04-30,4,5,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,288,9183
2020-05-01,5,5,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,720,20885
2020-05-04,5,5,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,445,890
2020-06-04,6,6,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,2400,25400
2020-06-06,6,6,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,623,1068
2020-06-08,6,6,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,864,24434
2020-07-02,7,7,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,1244,3110
2020-07-05,7,7,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,777,5498
2020-07-06,7,7,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,682,4757
2020-08-07,8,8,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,576,26970
2020-08-08,8,8,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,888,4397
2020-09-03,9,9,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,623,5176
2020-09-04,9,9,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,1998,10441
2020-09-05,9,9,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,760,25054
2020-10-01,10,10,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,4551,5883
2020-10-02,10,10,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,2368,5328
2020-10-04,10,10,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,160,2508
2018-05-29,5,5,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,440,840
2018-07-23,7,7,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,480,1480
2018-08-21,8,8,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,400,1040
2018-09-13,9,9,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,480,480
2018-10-24,10,10,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,124,248
2019-05-09,5,5,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,2368,3996
2019-06-04,6,6,QU39,hetero,Dinoflagellata,dino_het,109476,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA,spp. Indet.,NA,80,80
2019-07-09,7,7,QU39,hetero,Dinoflagellata,dino_het,109477,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Tovelliales,Tovelliaceae,Katodinium,NA,spp. Indet.,NA,40,40
2019-08-07,8,8,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,40,200
2019-08-29,8,9,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,480,960
2019-10-09,10,10,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,80,80
2020-04-29,4,5,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,2304,12040
2020-06-04,6,6,QU39,hetero,Dinoflagellata,dino_het,109477,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Tovelliales,Tovelliaceae,Katodinium,NA,spp. Indet.,NA,120,120
2020-07-09,7,7,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,868,21992
2020-08-04,8,8,QU39,hetero,Dinoflagellata,dino_het,109885,dino_het,dino_het,Species,Chromista,Myzozoa,Dinophyceae,Tovelliales,Tovelliaceae,Katodinium,NA,NA,NA,80,11747
2020-09-01,9,9,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,267,1424
2020-10-08,10,10,QU39,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,600,1080
