date,month,season,yday,site_id,Biddulphiales,Chaetoceros,Chaetoceros cinctus,Chaetoceros debilis,Chaetoceros subtilis,Corethron criophilum,Cylindrotheca closterium,Dactyliosolen fragilissimus,Detonula pumila,Dictyocha speculum,Dinophyceae,Guinardia delicatula,Gymnodinium,Gyrodinium,Hillea,Leptocylindrus danicus,Pennales,Pseudo-nitzschia delicatissima,Pseudo-nitzschia multiseries,Pseudo-nitzschia seriata,Pyramimonas orientalis,Rhizosolenia setigera,Scrippsiella precaria,Scrippsiella trochoidea,Skeletonema marinoi,Teleaulax,Thalassionema nitzschioides,Thalassiosira,Thalassiosira pacifica,Chaetoceros convolutus,Chaetoceros similis,Chaetoceros socialis,Chaetoceros tenuissimus,Ciliophrys infusionum,Dinobryon,Euglenozoa,Ochromonas,Phaeocystis pouchetii,Protoperidinium,Pterosperma,Pyramimonas grossii,Teleaulax amphioxeia,Apedinella spinifera,Asterionellopsis glacialis,Chaetoceros decipiens,Chaetoceros didymus,Chaetoceros laciniosus,Chaetoceros radicans,Chaetoceros seiracanthus,Chaetoceros simplex,Dactyliosolen phuketensis,Eutreptiella hirudoidea,Katodinium,Pleurosigma,Thalassiosira nordenskioeldii,Thalassiosira rotula,Attheya,Dictyocha,Dinophysis acuminata,Pyramimonas,Chrysophyceae,Tetraselmis gracilis,Eucampia zodiacus,Membraneis challengeri,Navicula,Protoperidinium steinii,Pyrocystis lunula,Chaetoceros ceratosporus,Chaetoceros danicus,Fragilariopsis,Katodinium glaucum,Meringosphaera mediterranea,Asterionellopsis kariana,Bacillariophyceae,Gonyaulax,Dinophysis acuta,Ceratium lineatum,Prorocentrum micans,Ceratium fusus,Ceratium horridum,Paralia sulcata,Dictyocha fibula,Dinophysis fortii,Prorocentrum,Amylax triacantha,Coscinodiscus,Dictyocha octonaria,Oxytoxum,Teleaulax acuta,Alexandrium catenella,Cerataulina bicornis,Dinophysis,Ditylum brightwellii,Eucampia groenlandica,Hemiaulus hauckii,Heterosigma akashiwo,Meringosphaera,Odontella longicruris,Oxyphysis oxytoxoides,Prorocentrum gracile,Olisthodiscus,Protoperidinium conicum,Dinophysis rotundata,Licmophora,Ceratium divaricatum
2019-08-03,8,summer,215,KC10,63330,1332,80000,1554,10000,0,8658,1221,0,222,222,999,555,222,170000,12099,4440,1998,2997,222,0,10434,0,222,10767,155000,555,2775,0,0,0,0,10000,222,15000,2442,0,0,0,5000,0,0,15000,0,0,0,0,0,0,0,111,0,222,0,0,0,0,2220,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,111,111,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,9,summer,244,KC10,23555,0,444,0,0,0,1554,555,0,2442,2220,666,3552,0,280008,666,666,222,0,111,93336,111,666,3108,999,280008,0,333,0,0,333,0,23333,0,11667,555,0,11667,111,46668,35001,0,11667,0,0,0,222,0,0,0,0,0,2109,0,0,0,0,1443,333,11667,0,11667,111,0,0,111,0,0,0,0,0,0,0,0,0,0,333,222,222,0,0,111,0,1998,0,0,0,0,0,666,0,0,0,0,0,0,0,0,111,2664,361677,111,0,0,0
2019-10-01,10,autumn,274,KC10,6074,576,0,0,0,0,576,0,0,288,240,192,336,96,67091,1920,3109,480,384,96,0,1680,0,0,3264,72925,48,288,0,0,0,432,6169,48,5834,2917,0,0,0,11668,5834,2917,0,0,192,0,0,0,288,288,0,0,96,0,0,0,0,624,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,336,48,0,2304,0,0,0,0,0,48,48,0,144,48,0,2917,0,0,0,0,0,0,0,0,0
2019-11-26,11,autumn,330,KC10,160,200,0,280,0,0,320,40,0,120,320,0,600,120,84593,160,240,0,0,40,5833,40,0,0,1560,11668,400,280,0,0,120,0,5833,320,0,0,2917,0,0,2917,0,0,0,0,0,0,0,0,0,0,0,0,2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,40,0,0,0,0,0,0,120,40,0,0,0,0,80,200,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,80
2019-05-13,5,spring,133,QCS01,163338,3732,228000,37942,933,0,1555,1244,1866,0,622,5909,933,1244,58335,3421,119469,24569,43851,35765,3889,0,1555,1244,592000,116670,311,46650,0,0,1555,37942,19445,0,3889,0,0,124448,622,7778,0,0,3889,5909,5287,933,8397,76960,25813,311,311,622,311,933,311,6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09,6,spring,160,QCS01,5176,178,712,0,0,0,890,2670,0,890,712,356,1602,0,26250,267,1246,0,2670,112000,8750,3026,445,445,9345,17500,1068,10413,0,801,267,17500,4375,178,8750,0,0,21875,534,8750,0,0,4375,0,0,0,267,0,0,0,623,0,267,0,0,267,0,89,0,0,0,0,890,178,4183,445,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,7,summer,188,QCS01,18076,5760,17424,39186,0,0,576,432,1008,0,288,2448,1008,0,64163,6336,13250,0,144,452000,5833,20016,1872,288,26584,64163,288,1872,0,0,0,3888,0,720,23332,144,0,11666,432,11666,0,0,0,144,0,0,432,0,2160,0,144,144,1008,0,0,576,0,864,0,0,0,0,0,0,144,144,0,0,144,0,0,0,0,0,0,0,432,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-06,8,summer,218,QCS01,148750,1008,2160,5472,720,0,7488,576,1296,1296,432,3888,1152,144,113750,40430,18364,1872,1152,6624,0,21000,0,288,11232,113750,0,3024,0,0,864,720,52500,0,720,288,17500,8750,0,61250,17500,0,0,1008,576,0,1008,0,1152,432,432,0,288,144,0,864,0,1728,144,8750,0,0,4320,0,2160,288,0,288,0,0,288,0,0,144,0,0,1296,0,288,0,0,144,144,0,0,288,0,0,0,144,288,144,288,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31,8,summer,243,QCS01,555,333,0,555,0,0,2109,3774,0,1665,2886,2331,3885,555,498750,2331,2442,888,333,2109,52500,111,999,3552,6105,157500,222,5883,0,0,333,0,17500,0,17500,2331,0,8750,111,105000,26250,0,17500,0,666,0,1332,0,0,0,444,0,2997,0,0,888,0,111,0,17500,0,52500,666,0,333,0,0,0,0,0,0,0,0,222,0,0,222,333,0,0,0,0,0,777,0,0,0,0,0,0,444,0,111,0,0,8750,8750,222,222,3330,0,0,0,0,0
2019-10-05,10,autumn,278,QCS01,148,814,1184,7252,0,0,518,2590,370,74,222,0,444,1036,81669,3848,2368,1998,2664,14688,3889,740,0,74,666,120559,518,1924,0,74,0,0,0,11667,0,222,0,120559,74,0,0,0,0,0,296,0,0,0,1036,0,370,0,296,0,0,0,0,74,0,0,0,0,370,148,0,0,0,0,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7778,0,0,0,222,0,0,74,0,0
2019-11-28,11,autumn,332,QCS01,240,40,0,0,0,0,120,0,0,0,160,0,240,160,14000,80,360,40,40,0,0,0,0,0,240,15750,440,1520,0,0,0,0,40,0,1750,0,1750,0,0,0,0,7000,0,0,0,0,40,0,0,0,0,0,40,0,0,680,0,0,0,0,0,0,0,0,0,0,0,40,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09,5,spring,129,QU39,26250,568750,962,2886,888,592,74,518,296,74,518,296,2368,1628,271250,370,1258,3404,1924,518,8750,296,74,74,52538,218750,370,5698,8066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-04,6,spring,155,QU39,0,0,0,0,0,0,80,0,0,1040,0,0,0,80,406875,0,480,240,80,280,17500,80,0,0,640,131250,160,560,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375,4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09,7,summer,190,QU39,0,0,0,0,0,0,0,0,0,0,0,560,0,0,700000,0,240,0,0,0,7000,0,0,0,160,49000,280,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-07,8,summer,219,QU39,0,0,0,0,0,240,0,0,0,40,0,0,40,80,714000,0,0,0,0,0,14000,0,40,40,0,497000,40,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,40,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-29,8,summer,241,QU39,360,0,0,120,0,40,40,120,0,120,0,200,480,440,330565,200,8218,120,360,0,27223,1760,400,520,8954,233340,120,520,0,0,0,0,0,0,0,280,0,3889,40,0,11667,3889,0,0,0,0,0,0,0,0,120,0,40,0,0,200,0,360,0,3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,280,40,0,0,0,0,0,0,0,0,0,0
2019-10-09,10,autumn,282,QU39,40,80,0,120,0,120,0,0,0,280,80,0,80,0,416123,0,200,40,80,0,3889,0,40,0,0,101114,0,80,0,120,0,0,0,0,0,0,0,0,0,0,3889,0,0,0,0,0,480,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
2019-11-26,11,autumn,330,QU39,40,160,0,1000,0,80,0,0,0,920,160,0,80,200,124250,0,2070,0,0,0,1750,0,0,0,0,47250,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
